BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,5300,97132,117343,HomeImp,Office,22,0,0,109.9339079,1,11,35.8385427
0,5400,86922,119846,HomeImp,ProfExe,5,0,0,185.0763473,1,28,26.3548893
0,5400,68625,82304,DebtCon,Sales,2,0,0,136.6329442,0,30,32.05002349
0,5500,87765,101053,DebtCon,ProfExe,22,0,0,55.55804904,2,13,31.37554242
0,5500,52897,65054,HomeImp,Office,20,0,0,189.2953185,0,19,20.6541289
0,5500,72147,69918,HomeImp,Sales,4,2,0,158.5344979,0,23,43.40443024
1,5500,40584,46645,HomeImp,Other,4,0,1,136.3206375,0,13,34.49470897
1,5500,85845,122205,DebtCon,ProfExe,5,0,0,172.2132767,1,26,32.67664088
0,5600,53793,66379,HomeImp,Office,22,0,0,206.0991341,0,19,18.36954053
0,5600,76407,77485,HomeImp,Other,9,0,0,91.68377063,0,24,37.77335098
0,5700,100934,111496,HomeImp,Office,23,0,0,117.4995929,0,12,38.75056267
0,5700,28127,36524,HomeImp,ProfExe,10,0,0,181.2829568,0,13,24.33953357
0,5700,26927,35461,DebtCon,Other,0,1,0,21.79935215,10,6,29.43966424
0,5700,71556,79538,HomeImp,Other,2,0,0,92.64308456,0,15,41.21001247
1,5700,74172,79846,DebtCon,ProfExe,0,0,0,157.0097747,0,28,47.41522866
0,5800,79296,86885,DebtCon,Mgr,19,0,1,307.9748816,1,23,39.95910877
1,5800,27791,46833,DebtCon,Mgr,3,0,0,83.28906275,1,13,30.18780539
1,5900,25972,41856,DebtCon,Other,2,0,2,157.9600114,3,27,40.62827818
0,5900,74187,78976,HomeImp,Other,9,0,1,118.442491,0,24,40.11040743
0,6100,91704,114799,HomeImp,Office,22,0,0,129.2500896,1,12,36.74676624
0,6100,47604,54966,HomeImp,Other,5,0,0,70.69532973,0,18,24.76674453
0,6100,79636,87276,HomeImp,Other,20,0,0,350.4361376,0,47,28.84827658
0,6200,75657,84368,DebtCon,Sales,4,0,0,122.244945,0,30,32.55254334
0,6200,70793,71552,HomeImp,Sales,3,2,0,162.9451569,0,23,40.31539659
0,6200,73881,98550,HomeImp,Other,0,0,1,182.8787798,0,31,37.19944569
0,6300,99469,116260,HomeImp,Office,23,0,0,124.7455955,1,12,35.64227011
0,6300,78724,80355,HomeImp,Other,24,0,0,335.0741426,1,46,31.1772613
1,6300,12476,32559,HomeImp,Office,12,3,6,227.1299051,0,23,23.31951678
0,6300,69357,73726,HomeImp,Sales,3,2,0,163.2839332,1,22,42.40781425
0,6400,81116,86148,HomeImp,ProfExe,8,0,0,262.1754261,0,11,42.06826818
0,6400,17491,63614,HomeImp,Office,23,0,0,325.2993087,0,12,40.24440437
0,6400,70035,78635,DebtCon,Sales,3,0,0,147.0771635,0,31,31.20612976
0,6400,28041,33438,DebtCon,Other,1,1,0,10.42564285,10,6,29.75370028
0,6500,63144,76754,HomeImp,Mgr,2,0,2,129.0777116,0,23,29.05543313
0,6500,33639,37345,HomeImp,ProfExe,11,0,0,191.0756559,0,13,24.22731934
0,6500,58689,72557,DebtCon,Other,0,0,1,94.00805286,2,18,34.89841307
0,6600,62380,89742,HomeImp,Office,31,0,0,232.5272907,0,16,26.16049489
0,6700,55113,56486,HomeImp,Other,4,0,0,84.41703046,0,17,23.64285383
1,6700,60301,70543,HomeImp,ProfExe,5,0,0,195.7808633,0,19,32.39759341
1,6700,27510,42495,DebtCon,Other,2,0,2,171.5264892,3,27,41.42859751
0,6700,69773,83014,HomeImp,Other,0,1,0,263.1734343,0,5,37.70699649
0,6700,66587,70710,DebtCon,ProfExe,9,1,0,43.92338263,1,24,39.73857627
0,6700,54161,59714,HomeImp,Office,20,0,0,209.2063004,0,20,20.20351771
0,6800,138691,160063,HomeImp,ProfExe,12,0,0,208.420843,0,19,19.33336736
0,6800,139578,154602,HomeImp,ProfExe,12,0,0,201.9608343,0,18,22.32582879
0,6800,56155,57912,HomeImp,Office,21,0,0,206.3063213,0,20,21.79851308
0,6800,71666,99913,HomeImp,Other,0,0,1,196.4649989,0,31,35.76160473
0,6900,70717,87466,HomeImp,Other,2,0,0,112.5890607,0,15,41.4280899
0,6900,53776,51952,HomeImp,Other,5,0,0,87.90011834,0,17,22.28699748
0,6900,97662,110046,HomeImp,Office,24,0,0,111.1233973,0,11,37.25315085
0,6900,49932,66042,HomeImp,Office,20,0,0,204.4845828,0,19,21.85549413
0,7000,78284,98214,HomeImp,Other,0,0,1,171.8383862,0,31,36.24796303
0,7000,58128,93740,HomeImp,ProfExe,5,0,0,213.3630277,2,24,34.47530193
0,7000,46238,66842,DebtCon,Office,4,0,0,90.38040908,3,11,36.30952679
0,7000,64255,68389,HomeImp,Other,4,0,0,80.15243091,2,19,40.56186054
0,7000,16047,67750,HomeImp,Office,21,0,0,315.3214527,0,12,38.6936558
0,7100,98490,114457,HomeImp,Office,23,0,0,116.1000871,0,11,35.60189425
0,7100,58639,72412,DebtCon,ProfExe,14,0,0,120.0334646,0,20,43.67874666
0,7100,57863,70969,DebtCon,Other,0,0,0,65.87204481,7,21,26.82949019
0,7200,62329,78007,DebtCon,ProfExe,8,0,0,55.35880309,1,23,38.64027711
0,7200,57912,84806,HomeImp,Other,15,0,0,241.5142498,0,35,35.06267566
1,7200,15637,39660,HomeImp,Self,6,0,1,354.2397634,3,42,33.62413345
0,7200,71667,117325,DebtCon,Office,0,0,1,241.0560781,1,38,18.51055133
0,7300,60973,79443,HomeImp,Other,14,0,0,239.6202977,1,36,36.72713636
0,7300,139348,205981,DebtCon,ProfExe,1,0,0,60.42476076,2,22,36.81229063
0,7400,88288,119677,HomeImp,ProfExe,5,0,0,194.37214,1,27,26.64608364
0,7400,73985,114849,DebtCon,Office,0,0,0,238.5863034,1,38,18.42136986
1,7400,71576,89068,DebtCon,Sales,0,0,0,94.78223069,0,17,42.803422
0,7400,65032,83184,HomeImp,Other,15,0,0,230.4202559,1,35,35.41511292
0,7500,63573,80601,HomeImp,Other,4,0,0,111.4351899,0,14,41.77344662
1,7500,32070,36811,DebtCon,Other,1,1,0,228.0360001,0,6,30.16221411
0,7500,88056,104794,DebtCon,ProfExe,25,0,0,56.75011314,2,14,30.53890697
0,7500,11358,36892,DebtCon,Other,5,0,0,286.9228238,0,11,23.06292573
0,7500,60192,76475,DebtCon,ProfExe,8,0,0,60.50362521,2,24,39.28051238
0,7500,57213,92458,HomeImp,Office,28,0,0,243.1571192,1,16,23.99235335
0,7600,58622,77726,HomeImp,Other,15,0,0,249.6337607,2,36,34.88206644
0,7600,80900,99525,DebtCon,ProfExe,2,0,0,135.6401964,0,26,34.77708943
0,7700,70451,81862,DebtCon,Sales,3,0,0,141.2686711,0,31,31.68194302
0,7700,20887,26958,DebtCon,Other,0,0,0,17.4607499,10,6,30.23350474
0,7800,58399,65945,DebtCon,Other,1,0,1,106.6313416,2,18,37.02476444
0,7800,58364,66688,DebtCon,Other,3,0,2,114.512158,3,18,37.92927387
0,7800,45391,61743,DebtCon,Other,12,0,0,105.0875938,0,22,36.70541274
0,7800,38506,50309,DebtCon,Other,11,0,0,231.0011955,0,32,35.90611585
1,7900,67222,75189,HomeImp,Other,4,0,0,95.67687269,0,23,36.97971203
0,7900,44690,45841,DebtCon,Office,10,0,0,185.6215923,0,22,32.28572409
1,7900,55383,70020,DebtCon,Other,12,2,0,80.7789415,10,8,44.85897732
0,7900,78532,122952,HomeImp,Office,29,0,0,332.6450474,1,37,35.31155263
0,8000,61565,87624,DebtCon,ProfExe,14,0,0,203.9971364,0,17,23.56256501
0,8000,82547,105361,DebtCon,ProfExe,24,0,0,52.59326412,2,13,32.16092259
1,8000,32100,36739,HomeImp,Other,4,0,0,79.45884505,2,8,31.27671568
0,8000,47154,65458,DebtCon,Office,2,0,0,99.99378983,3,12,38.8737113
0,8000,57361,71167,HomeImp,Mgr,2,0,1,130.767035,0,22,29.38198545
0,8000,58006,94930,HomeImp,ProfExe,4,0,0,223.2029895,2,24,30.91339584
0,8100,53863,74705,DebtCon,Other,0,0,0,66.29457039,8,21,26.04646942
0,8100,78977,91995,DebtCon,Mgr,19,0,0,296.7470948,1,23,38.82094029
1,8100,19772,39431,DebtCon,Other,0,0,1,82.33528778,1,12,20.34246772
0,8100,69047,82113,DebtCon,Sales,3,0,0,121.4111489,0,30,35.07391836
0,8100,28187,32584,DebtCon,Other,0,1,0,27.04883471,10,7,29.28795683
0,8100,50373,65865,DebtCon,Office,5,0,0,99.59816995,2,11,38.91015083
0,8200,117314,132770,DebtCon,Self,4,0,1,176.3345415,0,19,34.55205243
0,8200,64006,80409,HomeImp,Other,15,0,0,235.3632495,0,36,35.63672035
0,8200,58536,66546,DebtCon,Other,1,0,2,118.3973584,2,17,34.71164955
0,8200,68013,77008,DebtCon,ProfExe,8,0,0,49.1469223,1,23,40.7925897
0,8200,61821,64832,HomeImp,Other,5,0,0,123.2860249,0,34,35.87534399
0,8200,66254,74994,DebtCon,ProfExe,7,0,0,60.38486252,1,24,39.72610514
0,8200,80989,105080,DebtCon,Mgr,1,0,0,81.3547953,1,24,38.4757705
0,8200,135929,200275,DebtCon,ProfExe,0,0,0,69.61717488,1,23,37.80543265
0,8300,61213,65798,HomeImp,Other,6,0,0,86.29651576,2,20,41.42687223
0,8300,41481,50448,HomeImp,Mgr,20,0,1,230.8488635,1,18,35.88829101
0,8300,67715,86945,DebtCon,ProfExe,14,0,0,221.4749248,0,17,25.19429721
0,8300,45842,50006,DebtCon,Other,16,0,0,90.65307013,0,12,31.36082195
0,8300,35343,51986,DebtCon,Other,10,0,0,242.818967,1,31,37.96660602
0,8300,54039,89301,HomeImp,Other,18,0,0,173.1913224,0,28,26.26681575
0,8400,39677,54707,DebtCon,Office,10,0,0,203.2429653,1,23,31.21770976
0,8400,53841,64284,DebtCon,Other,15,0,3,206.3545644,0,36,26.05485371
0,8400,62989,76718,HomeImp,Mgr,3,0,2,131.4713826,0,22,29.20040034
0,8400,43589,49950,DebtCon,Office,9,0,0,202.7045404,0,23,33.59231894
0,8400,60995,78444,HomeImp,Mgr,4,0,1,123.7385166,0,23,26.9327076
0,8400,30146,39326,HomeImp,ProfExe,11,0,0,183.0927495,0,12,23.09720188
0,8400,78089,90660,DebtCon,Mgr,9,0,0,118.6353947,0,22,27.09304112
1,8400,48032,95213,HomeImp,Office,5,1,4,326.6795905,0,30,38.19168174
0,8500,73752,87931,DebtCon,Mgr,21,1,1,291.6203784,0,24,39.00314063
0,8500,41210,45175,DebtCon,Office,9,0,0,209.4940947,1,22,29.96408198
0,8500,61607,81126,HomeImp,Other,16,0,0,222.2111903,1,35,34.72969809
0,8500,49266,64461,DebtCon,Other,22,0,0,264.4080231,3,29,37.97675792
0,8500,47777,78979,HomeImp,Other,18,0,0,202.9542765,1,16,34.8286475
0,8500,53459,62678,DebtCon,Mgr,13,0,0,116.8634491,0,18,30.05290208
0,8500,58327,75044,HomeImp,Mgr,2,0,2,123.3653563,0,22,28.11181383
0,8500,79484,87893,DebtCon,Other,1,0,0,123.6188031,1,10,35.75908385
0,8600,42380,60733,DebtCon,Mgr,3,0,0,199.293142,0,22,28.43434208
1,8600,36933,42289,DebtCon,Mgr,4,0,0,100.6164211,2,26,38.43649009
0,8600,57727,70828,HomeImp,Other,5,0,0,87.84531097,3,19,41.75352499
0,8600,22960,80874,HomeImp,ProfExe,20,0,0,238.7026834,0,11,25.8873199
0,8600,45960,57473,DebtCon,Mgr,4,0,0,189.7680601,0,22,26.75441155
0,8600,76703,100862,HomeImp,Other,0,0,1,174.5571202,0,31,34.38623066
0,8600,66366,75957,DebtCon,ProfExe,8,0,0,72.91672107,2,25,39.66040874
0,8600,124810,176581,DebtCon,Other,8,0,0,213.3028848,1,19,32.87645851
0,8700,54283,58563,DebtCon,Office,3,0,1,91.44646517,3,11,38.59036694
0,8700,58007,73069,DebtCon,ProfExe,14,0,0,240.4372819,3,31,37.89748089
0,8700,77377,97070,DebtCon,Mgr,3,0,0,68.85487717,2,24,38.21772578
0,8700,30716,84778,HomeImp,ProfExe,19,0,0,219.0852356,0,10,23.80889415
0,8700,79062,98038,DebtCon,ProfExe,4,0,0,139.2640336,0,26,33.57803554
0,8700,43759,50070,HomeImp,Mgr,19,1,1,218.9062534,0,17,34.0581468
0,8700,77930,80164,HomeImp,Other,20,0,0,350.5284099,1,47,29.6623601
0,8700,58060,65605,DebtCon,Other,23,0,0,259.6838134,3,29,39.82999947
0,8700,76510,108130,DebtCon,Office,2,0,0,252.8439282,1,37,17.41485961
0,8800,51740,60852,DebtCon,Other,23,0,0,277.5895886,3,29,39.88548381
0,8800,78953,93018,DebtCon,Mgr,7,0,0,110.72313,0,22,28.28942917
1,8800,33395,51057,DebtCon,Office,2,0,0,80.82247969,1,20,16.88303101
0,8800,74562,89695,HomeImp,Other,24,0,0,338.7767458,1,47,28.43971651
0,8800,55990,89673,HomeImp,Other,18,0,0,184.6259659,0,29,27.70164974
0,8900,111493,133191,DebtCon,Self,6,0,0,159.4326981,0,19,34.3711489
0,8900,58503,74706,HomeImp,Other,6,0,0,243.9359963,1,16,36.79323717
1,8900,64343,84013,DebtCon,Other,4,0,0,39.22171925,0,12,35.78843746
1,8900,133847,157399,HomeImp,ProfExe,17,0,2,70.88414409,0,12,34.70233074
0,9000,50513,61190,DebtCon,Other,5,0,0,75.38855124,1,11,30.49800512
0,9000,75453,100646,DebtCon,ProfExe,3,0,0,126.309835,0,26,33.75846632
0,9000,79259,84322,HomeImp,Other,22,0,0,359.3322724,1,47,29.67139034
0,9000,56162,75526,HomeImp,Other,6,0,0,127.7869696,0,15,35.73405682
0,9000,8221,38290,DebtCon,Other,4,0,0,266.3837994,0,12,23.70306719
0,9000,56930,67557,DebtCon,Other,0,0,1,118.6995161,2,18,36.68688204
1,9000,31896,46195,HomeImp,Other,25,0,2,122.3891553,3,16,36.68165215
0,9000,56226,67466,HomeImp,Other,7,0,0,126.7450871,0,16,33.98784698
0,9000,53177,56782,HomeImp,Other,9,0,0,106.500537,3,33,40.0841755
0,9100,80719,86782,HomeImp,Other,23,0,0,333.0115898,1,47,30.39545792
0,9100,43249,52946,HomeImp,Mgr,20,1,1,228.3963399,1,18,35.18184074
1,9100,28550,40300,HomeImp,Other,5,0,0,109.5356355,7,33,23.08290534
0,9100,46406,56134,HomeImp,Other,9,0,0,93.85346069,3,34,39.46633033
0,9100,53764,56429,HomeImp,Other,9,0,0,92.07897878,3,33,40.58208394
0,9100,47756,84022,HomeImp,Other,18,0,0,206.797361,1,17,32.39114639
0,9200,92395,114494,HomeImp,Office,24,0,0,130.3767882,1,11,39.11215036
0,9200,72859,88183,DebtCon,Mgr,8,0,0,105.6552052,0,23,29.00720777
0,9200,52531,66491,DebtCon,Mgr,11,0,0,122.2285343,1,19,32.65762889
0,9300,79724,105493,DebtCon,Mgr,2,0,0,63.43088731,2,23,39.38611808
0,9300,73252,100537,DebtCon,ProfExe,2,0,0,99.77452712,0,26,34.51463507
0,9300,79133,100033,DebtCon,Other,3,0,0,102.1630274,2,31,40.79463545
0,9300,46466,57182,DebtCon,Other,2,0,0,100.0518662,0,20,38.44431799
1,9300,84900,105798,DebtCon,ProfExe,2,0,0,41.8072046,1,3,26.9566979
0,9300,54088,66961,DebtCon,Other,22,0,0,278.1604735,3,28,40.82354171
0,9300,106449,120066,DebtCon,Other,18,0,1,189.9199182,1,15,37.08645509
0,9400,52371,55764,DebtCon,Office,1,0,0,177.7028004,0,20,37.35868805
1,9400,52024,89107,HomeImp,Office,0,1,0,148.8447376,3,26,36.08003177
0,9400,85448,94101,DebtCon,Other,2,0,0,104.1133632,2,32,39.54184797
0,9400,61185,65302,DebtCon,Other,1,0,2,117.1710044,2,18,35.61194388
0,9400,109991,125146,DebtCon,Self,7,0,1,171.6798111,0,18,34.81346859
0,9400,53756,76077,HomeImp,Office,12,2,0,244.1166529,2,29,33.37457063
0,9400,81546,119128,HomeImp,Office,30,0,0,328.1781237,2,38,34.15031938
0,9400,92340,125451,DebtCon,Office,7,0,0,129.1137248,1,22,36.3499746
0,9400,53244,62245,DebtCon,Other,23,0,0,276.787744,3,28,37.82185151
0,9400,103973,119817,DebtCon,Other,18,0,2,182.6166394,2,16,37.33797719
1,9500,36114,45654,DebtCon,Office,0,0,0,83.33329177,0,9,25.34347845
0,9500,28750,42408,HomeImp,Office,0,0,0,115.5749709,1,30,39.05039479
0,9500,47019,59413,DebtCon,Other,4,0,0,78.02555168,0,11,31.41813239
0,9500,35019,52710,DebtCon,Other,12,0,0,241.5817794,0,31,38.20866784
0,9500,59494,75930,HomeImp,Other,0,0,0,98.99850784,0,6,36.88843637
0,9600,62405,69459,DebtCon,Other,0,0,2,86.43183174,2,18,36.26033127
0,9600,45158,55455,DebtCon,Other,15,0,0,82.71313688,0,12,30.931518
0,9600,70589,99384,HomeImp,Other,0,0,1,176.4674623,0,31,34.23478958
1,9600,42357,99756,HomeImp,Office,4,1,4,354.650225,0,30,36.52517293
0,9600,46683,61773,DebtCon,Office,1,0,0,171.058449,1,20,38.00528931
0,9600,50655,59502,DebtCon,Other,0,0,0,93.4328441,0,20,37.98235351
0,9600,44553,48626,HomeImp,Mgr,20,0,1,226.4521595,0,18,35.55592289
0,9700,75566,92066,DebtCon,Office,14,0,0,94.98792219,0,8,25.16118348
0,9700,98232,117321,DebtCon,Other,19,0,2,194.4247179,2,15,36.95089224
0,9700,21883,67432,HomeImp,Office,24,0,0,308.9955757,1,12,41.41428065
0,9700,44652,63232,DebtCon,Other,9,0,0,102.1655136,0,22,37.03487587
0,9700,59633,70398,HomeImp,Other,4,0,0,239.0382058,1,16,38.86724899
1,9700,32660,54536,DebtCon,Office,0,0,0,156.4821057,0,13,67.32490355
0,9700,77394,86917,DebtCon,Office,16,0,1,81.46140046,0,9,27.70585654
0,9800,136154,203815,DebtCon,ProfExe,1,0,0,70.85332764,2,23,35.8789883
0,9800,79405,111563,DebtCon,Office,0,0,0,240.9429936,1,38,19.33281003
0,9800,62826,65912,HomeImp,Other,6,0,0,132.7524896,0,34,37.58819954
0,9800,49298,73426,HomeImp,Office,9,3,1,242.3890162,1,29,34.69036125
0,9800,53643,113161,DebtCon,ProfExe,5,0,1,230.3032566,0,9,23.7736104
0,9800,78022,103466,DebtCon,Mgr,1,0,0,83.83533849,2,24,37.43461536
0,9800,54861,71138,HomeImp,Other,4,0,0,258.334618,2,16,36.03571287
0,9800,56188,90143,HomeImp,Other,17,0,0,171.4136584,0,29,25.62165041
0,9800,55539,73560,DebtCon,Office,4,0,0,85.90093624,1,14,26.33161906
0,9900,60488,75507,HomeImp,Other,3,0,0,239.43364,1,17,38.47307527
1,9900,88236,104953,DebtCon,ProfExe,1,0,0,51.64870524,0,2,28.62263209
0,9900,73804,97413,DebtCon,ProfExe,5,0,0,107.3330245,0,25,33.5248796
0,9900,117003,219783,HomeImp,ProfExe,1,0,0,130.7663862,0,14,25.6226109
1,9900,71371,84865,DebtCon,Mgr,0,2,0,94.80523575,0,12,38.2113051
0,9900,108155,219936,HomeImp,ProfExe,2,0,0,126.9393774,1,15,27.99205166
0,9900,74009,108371,DebtCon,Office,1,0,0,246.0947649,0,36,17.25711715
0,9900,26427,87134,HomeImp,ProfExe,20,0,0,244.3652465,0,11,25.00396549
1,9900,23767,39293,DebtCon,Other,5,1,0,145.7657738,0,9,24.60512881
0,9900,83821,124527,HomeImp,Office,30,0,0,319.6519713,1,37,35.76942543
1,10000,34350,54146,DebtCon,Other,3,0,0,144.4228889,0,18,31.5390134
0,10000,127319,194992,HomeImp,Office,1,0,1,337.6899717,0,16,41.44750595
0,10000,48769,65328,DebtCon,Office,4,0,1,104.6952407,3,12,39.04935922
0,10000,114643,130127,DebtCon,Self,5,0,1,160.6678931,0,19,33.92004439
0,10000,41949,51684,DebtCon,Other,15,0,0,84.12345095,0,12,31.26731878
0,10100,87942,106000,DebtCon,Other,13,0,0,219.3852784,2,16,40.75164798
0,10100,32608,47377,HomeImp,Other,9,0,0,67.38706567,0,3,35.69019304
0,10100,81263,98536,DebtCon,Mgr,1,0,0,73.16044771,1,23,38.33125572
0,10100,137299,200339,DebtCon,ProfExe,0,0,0,66.35759046,2,23,35.2377013
0,10100,73174,91101,DebtCon,Office,14,0,0,77.11709066,0,8,25.04259669
0,10100,54873,73085,HomeImp,Other,5,0,1,252.2528926,1,16,38.7274173
0,10100,126358,180305,DebtCon,Other,8,0,0,199.3505297,1,20,32.03362879
0,10100,58446,71145,HomeImp,Other,4,0,1,244.6243676,1,15,38.11730639
0,10100,93085,110069,DebtCon,Other,13,0,0,206.799179,3,16,40.56989706
0,10100,154005,175684,HomeImp,Office,4,0,0,189.3663073,0,56,33.97122188
0,10200,55539,65357,DebtCon,Mgr,5,0,0,190.9459308,1,17,28.64082373
0,10200,59907,71580,DebtCon,ProfExe,14,0,0,237.9481372,2,32,36.40094666
0,10200,71111,80385,DebtCon,Office,4,1,2,170.2818826,2,29,38.62337208
0,10200,8907,59814,HomeImp,Other,7,2,0,364.4309474,1,22,16.06424538
1,10200,29581,39992,DebtCon,Self,3,0,0,149.8746257,2,26,43.19724206
0,10200,16322,86505,DebtCon,Other,8,0,0,259.1638196,0,14,21.25349814
0,10200,65803,85155,HomeImp,Other,15,0,0,218.4817546,0,36,36.18219201
0,10200,79257,105912,HomeImp,ProfExe,3,0,0,95.35537249,0,33,39.3913652
0,10300,51787,86200,HomeImp,Other,17,0,0,203.7327626,0,16,34.43524605
0,10300,79243,89840,DebtCon,Office,16,0,0,87.82534618,0,9,24.47937322
0,10300,50714,56088,DebtCon,Office,1,0,0,163.0891482,1,21,37.97305537
0,10300,65382,73817,DebtCon,Other,1,0,0,190.648145,1,17,34.19289159
0,10300,45275,62724,HomeImp,Other,11,0,1,109.3246387,3,34,37.29182499
0,10300,59340,84708,HomeImp,Other,13,0,0,222.3648894,1,36,34.92598425
0,10300,57902,74355,HomeImp,Other,4,0,0,243.6309162,1,16,36.57444189
0,10300,44941,60694,DebtCon,Other,2,0,0,85.68120512,0,20,39.53639781
0,10400,62442,73197,DebtCon,ProfExe,8,0,0,47.61067763,1,24,38.88482776
0,10400,56610,86831,HomeImp,Other,19,0,0,190.0848295,0,28,24.60265855
0,10400,37233,52320,DebtCon,Other,15,0,0,88.67732863,0,11,31.05643679
0,10400,57816,82047,HomeImp,Other,3,0,1,176.6568946,0,12,30.67420529
1,10400,42714,72322,DebtCon,Other,12,0,0,105.0748016,6,15,41.26235347
0,10400,45710,55299,DebtCon,Office,0,0,0,166.3741502,0,20,34.53641174
0,10500,154434,179486,HomeImp,Office,5,0,0,182.3539,1,55,34.98345933
0,10500,64331,65040,HomeImp,Other,4,0,0,66.54105782,1,20,42.33212434
0,10500,53537,66674,DebtCon,Office,4,0,0,83.5030948,2,11,37.09841345
0,10500,41467,58329,DebtCon,Mgr,2,0,0,187.7134862,0,22,27.86112392
0,10500,69656,88198,DebtCon,Office,15,0,0,97.31940617,0,8,27.32239655
0,10500,42003,53754,DebtCon,Other,16,0,0,84.55110419,0,12,32.34295932
1,10500,55267,65160,DebtCon,Other,1,0,0,108.2754232,8,22,47.07928537
0,10500,34044,55784,DebtCon,Other,10,0,0,245.1308598,1,32,36.35032943
0,10600,80386,106526,HomeImp,ProfExe,1,0,0,64.06673554,1,19,34.10469706
0,10600,54344,92742,HomeImp,Other,19,0,0,171.205079,0,28,24.55320617
0,10600,46589,64559,HomeImp,Other,8,0,0,85.23087649,2,33,40.45139254
0,10600,28264,86546,HomeImp,ProfExe,20,0,0,244.140509,0,11,24.20235008
0,10600,82365,100272,DebtCon,ProfExe,3,1,0,122.4835943,0,26,33.65164695
0,10600,62909,81411,HomeImp,Other,15,0,0,238.3144708,1,35,34.68038165
0,10600,50662,62491,DebtCon,Other,0,0,0,197.709267,1,13,26.25188835
0,10600,43676,61576,DebtCon,Other,6,0,0,84.83912605,1,10,30.8681375
0,10600,63245,82041,DebtCon,Office,3,1,3,184.5725782,3,29,38.21903431
0,10600,73844,107640,HomeImp,ProfExe,3,0,0,92.97949051,0,34,37.31928931
0,10600,48018,68963,DebtCon,Mgr,2,0,0,186.7575926,1,16,30.65574434
0,10600,56352,75277,DebtCon,Office,5,0,0,98.37727819,2,15,26.24239431
0,10700,85198,107044,HomeImp,ProfExe,0,0,0,66.75832547,0,19,36.84646682
0,10700,56197,79272,HomeImp,Other,18,0,0,218.9816622,1,16,34.01535961
0,10700,124330,176350,DebtCon,Other,8,0,0,222.6343393,1,19,33.96477734
0,10700,55341,78062,HomeImp,Other,3,0,1,192.5968546,0,12,28.82864931
0,10700,59588,69166,HomeImp,Other,6,0,0,133.9065052,0,17,36.18085758
0,10700,67523,85560,DebtCon,Sales,5,0,0,126.8429349,0,35,26.00166533
0,10700,147477,181050,HomeImp,Office,6,0,0,190.0210849,1,55,34.69816239
0,10700,115118,124198,DebtCon,Self,6,1,0,174.3418233,0,19,31.75799058
1,10800,64305,107374,DebtCon,ProfExe,9,0,0,97.86132576,0,36,36.99638566
0,10800,70214,83882,DebtCon,Office,4,1,2,172.7993009,3,30,38.58882359
