net.profit...total.assets ,current.assets...short.term.liabilities ,EBIT...total.assets ,X.gross.profit...extraordinary.items...financial.expenses....total.assets ,gross.profit...short.term.liabilities,X.gross.profit...interest....total.assets ,X.gross.profit...depreciation....total.liabilities ,gross.profit...total.assets ,gross.profit..in.3.years....total.assets ,X.net.profit...depreciation....total.liabilities ,current.assets...total.liabilities ,class
-0.35884,0.46115,-0.35884,-0.35884,-0.41514,-0.35884,-0.27255,-0.35884,-0.82224,-0.27255,0.35682,0
0.10248,1.2981,0.12731,0.12731,0.4909,0.12731,0.55517,0.12731,0.27078,0.46954,1.1612,0
0.1409,1.6388,0.1409,0.1409,0.26562,0.1409,0.19844,0.1409,0.36762,0.19844,1.1505,0
0.001222,1.5431,0.002745,0.002745,0.007405,0.002745,0.095012,0.002745,0.056723,0.092145,1.0769,0
0.013079,0.90444,0.012298,0.012298,0.019544,0.012298,0.05141,0.012298,0.083487,0.05244,0.75038,0
0.099873,1.3169,0.11871,0.11871,0.21423,0.11871,0.25189,0.11871,0.37667,0.21907,1.271,0
0.20279,4.2102,0.25271,0.25271,1.4386,0.25271,1.6723,0.25271,0.7494,1.3881,4.2102,0
0.13287,4.65,0.16623,0.16623,1.1392,0.16623,1.4466,0.16623,0.51315,1.218,4.65,0
0.011834,1.2884,0.011834,0.011834,0.13375,0.011834,0.571,0.011834,-0.19522,0.571,1.2884,0
0.046426,1.1195,0.059757,0.059757,0.095349,0.059757,0.16509,0.059757,0.23448,0.14382,1.1195,0
0.033901,0.54489,0.044169,0.044169,0.22485,0.044169,0.39012,0.044169,0.03543,0.34741,0.44517,0
-0.080617,0.89193,-0.080617,-0.080617,-0.088985,-0.080617,-0.048749,-0.080617,-0.28903,-0.048749,0.89193,0
-0.081668,1.0848,-0.081668,-0.081668,-0.1216,-0.081668,-0.035478,-0.081668,-0.081668,-0.035478,0.71165,0
-0.2271,1.3068,-0.23821,-0.23821,-0.42602,-0.23821,-0.33438,-0.23821,-0.35737,-0.31451,1.3068,0
0.17203,1.5531,0.22368,0.22368,0.40125,0.22368,0.44405,0.22368,0.68577,0.35235,1.5374,0
-0.043723,8.6524,-0.037519,-0.037519,-0.46603,-0.037519,0.72164,-0.037519,0.010629,0.64458,8.6524,0
-0.00175,1.0238,0.000121,0.000121,0.000241,0.000121,0.004884,0.000121,0.053671,0.001161,1.0211,0
0.14813,2.0837,0.17695,0.17695,0.49291,0.17695,0.36307,0.17695,0.28439,0.30594,1.4828,0
0.21043,1.9565,0.25016,0.25016,0.82549,0.25016,0.86103,0.25016,0.26635,0.73659,1.8569,0
0.19437,1.3228,0.25086,0.25086,0.57608,0.25086,0.53454,0.25086,0.31098,0.42031,1.1648,0
0.057995,2.9128,0.076807,0.076807,0.30434,0.076807,0.35176,0.076807,0.14223,0.27723,2.9128,0
0.14403,7.1356,0.18043,0.18043,1.914,0.18043,2.2309,0.18043,0.5701,1.8449,7.1356,0
0.11936,1.2716,0.11936,0.14191,0.16298,0.11936,0.34878,0.11936,0,0.34878,1.121,0
0.06773,2.388,0.087624,0.087624,0.47002,0.087624,0.7043,0.087624,0.23996,0.59977,2.3391,0
-0.054723,2.4714,-0.06779,-0.06779,-0.19355,-0.06779,-0.16378,-0.06779,0.18554,-0.12647,2.4714,0
0.064812,1.5354,0.080831,0.080831,0.20691,0.080831,0.37176,0.080831,0.14072,0.33145,1.5095,0
0.035352,1.1001,0.043515,0.043515,0.098605,0.043515,0.17985,0.043515,0.10759,0.16136,1.1001,0
0.086734,2.4774,0.1089,0.14771,0.39967,0.1089,0.37636,0.1089,0,0.31457,1.8819,0
0.011123,2.9491,0.016622,0.016622,0.087759,0.016622,0.45056,0.016622,0.016622,0.42153,2.9491,0
0.12146,1.9151,0.15451,0.15451,0.64196,0.15451,0.95506,0.15451,0.48064,0.81773,1.9151,0
0.087366,2.101,0.10668,0.10668,0.39173,0.10668,0.40448,0.10668,0.39141,0.34749,1.688,0
0.030232,1.3172,0.044036,0.044036,0.14721,0.044036,0.19007,0.044036,0.1005,0.15682,0.94915,0
0.077604,2.5204,0.10094,0.10801,0.39207,0.10094,0.41874,0.10094,0,0.34202,2.1333,0
0.24737,0.96166,0.27464,0.27464,0.7553,0.27464,0.62592,0.27464,0.49189,0.56434,0.78945,0
0.082955,1.5281,0.10618,0.10618,0.20144,0.10618,0.2085,0.10618,0.2505,0.16925,1.3611,0
0.010386,1.218,0.014043,0.014043,0.033631,0.014043,0.039113,0.014043,0.014043,0.035665,0.47937,0
0.026461,1.3997,0.039185,0.039185,0.07446,0.039185,0.12244,0.039185,0.1132,0.10276,1.1393,0
0.007744,0.96502,0.008997,0.008997,0.020016,0.008997,0.050371,0.008997,0.001754,0.048714,0.57331,0
0.08718,0.79027,0.08718,0.08718,0.16292,0.08718,0.24338,0.08718,0.072717,0.24338,0.79027,0
0.39616,5.087,0.47728,0.47728,2.9633,0.47728,2.8521,0.47728,0.65632,2.4242,4.3217,0
0.06555,3.5215,0.082127,0.082127,0.58151,0.082127,0.91883,0.082127,0.23043,0.80145,3.5215,0
0.28948,2.1542,0.28948,0.28948,0.62964,0.28948,0.63188,0.28948,0.3321,0.63188,2.1542,0
-0.006985,1.9595,-0.005026,-0.005026,-0.012891,-0.005026,0.020581,-0.005026,-0.005026,0.015577,1.9516,0
-0.001611,3.4405,-0.001218,-0.001218,-0.005623,-0.001218,0.47478,-0.001218,-0.093003,0.47296,3.4405,0
-0.030391,0.71237,-0.030391,-0.030391,-0.026512,-0.030391,-0.003901,-0.030391,-0.30101,-0.003901,0.54387,0
0.040019,2.2695,0.050985,0.050985,0.18137,0.050985,0.42906,0.050985,0.25328,0.39005,2.2695,0
0.11741,2.6846,0.15024,0.15024,0.42973,0.15024,0.48814,0.15024,0.45978,0.39424,2.6846,0
-0.079066,2.8801,-0.08325,-0.08325,-0.49955,-0.08325,0.055776,-0.08325,-0.08325,0.063181,0.8495,0
-0.44949,1.062,-0.44949,-0.44949,-0.5548,-0.44949,-0.53115,-0.44949,-0.44949,-0.53115,1.062,0
0.10535,1.3637,0.14468,0.14468,0.25899,0.14468,0.32695,0.14468,0.15127,0.25755,1.3446,0
0.018787,1.4234,0.027332,0.027332,0.063318,0.027332,0.079002,0.027332,0.076533,0.066902,0.87011,0
0.099179,1.4388,0.12489,0.12489,0.21517,0.12489,0.26315,0.12489,0.12489,0.21885,1.4388,0
0.099179,1.4388,0.12489,0.12489,0.21517,0.12489,0.26315,0.12489,0.12489,0.21885,1.4388,0
0.009032,2.0094,0.016318,0.016318,0.088427,0.016318,0.19655,0.016318,0.012115,0.17264,1.2166,0
0.02717,4.4737,0.030538,0.030538,0.18483,0.030538,0.54503,0.030538,0.068016,0.52464,4.4737,0
0.17384,24.9,0.21805,0.21805,8.5595,0.21805,11.09,0.21805,0.46318,9.3545,24.9,0
0.14181,0.72281,0.17306,0.17682,0.33578,0.17306,0.40933,0.17306,0,0.34928,0.71584,0
0.092174,1.1844,0.11401,0.11401,0.1674,0.11401,0.17028,0.11401,0.13521,0.14277,1.0158,0
0.28597,6.1165,0.28597,0.28597,2.4942,0.28597,2.6944,0.28597,0.50424,2.6944,6.1165,0
0.74328,4.2954,0.91572,0.91572,4.1034,0.91572,4.1454,0.91572,0.91572,3.3727,4.2954,0
0.032386,2.7257,0.036365,0.036365,0.15526,0.036365,0.32981,0.036365,0.10549,0.31632,2.1651,0
0.063017,3.0278,0.078658,0.09202,0.42604,0.078658,0.27311,0.078658,0,0.23146,1.4887,0
0.11604,4.7145,0.14503,0.14503,0.86595,0.14503,1.175,0.14503,0.58292,1.0019,4.7145,0
0.10526,1.1792,0.12242,0.12242,0.21102,0.12242,0.29308,0.12242,0.22989,0.2635,1.1792,0
0.075483,0.76049,0.076777,0.076777,0.2201,0.076777,0.25982,0.076777,-0.025907,0.25684,0.61006,0
0.069509,1.2325,0.085518,0.085518,0.1518,0.085518,0.12308,0.085518,0.085518,0.10224,0.90407,0
0.15017,1.5341,0.18782,0.18782,0.34845,0.18782,0.37102,0.18782,0.37375,0.30118,1.5341,0
0.12447,5.771,0.15842,0.15842,1.3283,0.15842,2.1768,0.15842,0.15842,1.8921,5.771,0
0.024796,0.97892,0.019711,0.019711,0.031348,0.019711,0.063828,0.019711,0.063678,0.071898,0.97672,0
-0.02059,5.3047,-0.020531,-0.020531,-0.18434,-0.020531,0.11413,-0.020531,-0.1782,0.11363,5.0998,0
0.18917,1.6558,0.18917,0.18917,0.33798,0.18917,0.40733,0.18917,0.12965,0.40733,1.6558,0
0.055377,2.1662,0.069025,0.069025,0.27845,0.069025,0.29019,0.069025,0.39882,0.25964,1.2024,0
0.1226,2.3902,0.11894,0.11894,0.34694,0.11894,0.40013,0.11894,0.1557,0.4107,2.3645,0
0.10292,2.7552,0.14404,0.14404,0.48516,0.14404,0.58529,0.14404,0.14404,0.4468,2.7552,0
0.27486,0.89192,0.27486,0.27486,0.41054,0.27486,0.4537,0.27486,0.27486,0.4537,0.89192,0
-0.14535,0.93279,-0.14535,-0.14535,-0.14911,-0.14535,-0.12348,-0.14535,-0.39585,-0.12348,0.93279,0
-0.071948,0.91756,-0.071948,-0.071948,-0.083651,-0.071948,-0.017978,-0.071948,-0.2281,-0.017978,0.91756,0
0.076195,1.2593,0.068992,0.068992,0.15493,0.068992,0.14102,0.068992,0.10012,0.15422,1.0274,0
0.078471,1.6272,0.056519,0.056519,0.14892,0.056519,0.092887,0.056519,0.11928,0.11882,0.72967,0
0.026435,1.7028,0.036125,0.036125,0.079734,0.036125,0.12178,0.036125,0.054345,0.10497,1.3378,0
0.15775,4.6832,0.19528,0.19528,1.6274,0.19528,1.5603,0.19528,0.52446,1.3234,3.5468,0
-0.008594,1.3352,-0.008594,-0.008594,-0.013805,-0.008594,0.000842,-0.008594,0.16638,0.000842,1.3319,0
-0.01771,1.2421,-0.020314,-0.020314,-0.047011,-0.020314,0.082754,-0.020314,-0.10971,0.086814,0.83691,0
0.086845,1.505,0.13868,0.13868,0.31272,0.13868,0.27317,0.13868,0.24689,0.17917,1.2104,0
0.15732,2.6054,0.19777,0.19777,0.69562,0.19777,0.80226,0.19777,0.4885,0.6723,2.3795,0
0.021612,1.6425,0.020695,0.020695,0.074317,0.020695,0.35274,0.020695,0.074436,0.35602,1.6355,0
0.028803,1.1139,0.028803,0.028803,0.059938,0.028803,0.10167,0.028803,-0.24615,0.10167,0.63466,0
0.039398,1.2733,0.049467,0.049467,0.16769,0.049467,0.55,0.049467,0.049467,0.52294,1.0097,0
0.14273,1.4365,0.17993,0.17993,0.48823,0.17993,0.67311,0.17993,0.47608,0.57282,1.4273,0
0.096151,2.9475,0.11563,0.11563,1.0129,0.11563,1.9227,0.11563,0.42175,1.7521,2.9475,0
0.26616,6.4225,0.33084,0.33084,2.5276,0.33084,2.7322,0.33084,0.91608,2.238,6.4225,0
0.023729,2.174,0.029995,0.029995,0.09731,0.029995,0.17163,0.029995,0.22993,0.15533,1.7427,0
0.1733,1.5698,0.1733,0.1733,0.32001,0.1733,0.33238,0.1733,0.45359,0.33238,1.5281,0
0.068121,2.2527,0.073112,0.073112,0.22262,0.073112,0.36133,0.073112,0.19891,0.34613,2.2527,0
0.1815,4.5969,0.1815,0.1815,1.1413,0.1815,1.16,0.1815,0.1815,1.16,3.753,0
0.00431,5.9547,0.005335,0.005335,0.10459,0.005335,2.4958,0.005335,0.019625,2.4757,5.9547,0
0.062512,1.6388,0.082089,0.082089,0.23423,0.082089,0.32749,0.082089,0.28812,0.2719,1.6309,0
0.1245,2.2938,0.15343,0.15343,0.68312,0.15343,0.37599,0.15343,0.3923,0.31329,1.1164,0
-0.10409,0.95993,-0.12148,-0.049497,-0.20392,-0.12148,-0.11337,-0.12148,0,-0.089364,0.78968,0
0.13841,1.2958,0.1665,0.1665,0.29417,0.1665,0.3274,0.1665,0.27377,0.28084,1.2155,0
0.20691,1.7662,0.25902,0.25902,0.94624,0.25902,0.68718,0.25902,0.70058,0.56189,1.1623,0
0.073767,2.7842,0.09246,0.09246,0.44729,0.09246,0.68441,0.09246,0.26207,0.60524,2.4374,0
0.10035,1.1683,0.1263,0.1263,0.25789,0.1263,0.56949,0.1263,0.29614,0.52964,0.87857,0
0.25443,2.1399,0.31016,0.31016,0.86745,0.31016,0.92769,0.31016,0.54142,0.77293,2.1246,0
0.088994,1.2264,0.1139,0.1139,0.15231,0.1139,0.17335,0.1139,0.43129,0.14005,1.2264,0
0.10529,1.41,0.13796,0.13796,0.20684,0.13796,0.24056,0.13796,0.40879,0.19158,1.41,0
0.041293,4.4535,0.052892,0.052892,0.32372,0.052892,1.0614,0.052892,0.31435,0.99041,4.4535,0
0.1642,3.503,0.20468,0.20468,1.3034,0.20468,0.5167,0.20468,0.53858,0.43375,1.1272,0
0.1828,3.9093,0.22347,0.22347,1.4422,0.22347,1.6636,0.22347,0.52013,1.4114,3.7574,0
0.07976,3.1607,0.097679,0.097679,0.4632,0.097679,0.6852,0.097679,0.17947,0.60023,3.1607,0
0.10774,3.7724,0.12912,0.12912,0.82756,0.12912,1.5476,0.12912,0.33709,1.4106,3.7724,0
0.12606,1.5503,0.15562,0.15562,0.40902,0.15562,0.51649,0.15562,0.29449,0.44322,1.4618,0
0.056559,1.9637,0.07213,0.07213,0.24502,0.07213,0.40801,0.07213,0.21261,0.35512,1.9637,0
-0.013109,0.82801,-0.029333,-0.029333,-0.032944,-0.029333,0.027914,-0.029333,-0.13887,0.046064,0.82479,0
0.050757,1.9487,0.061002,0.061002,0.23207,0.061002,0.38666,0.061002,0.15699,0.34819,1.9234,0
0.08574,2.2255,0.10514,0.10514,0.42441,0.10514,0.61755,0.10514,0.31281,0.54601,2.0329,0
0.10618,2.059,0.13664,0.13664,0.36723,0.13664,0.4318,0.13664,0.18392,0.35162,2.0168,0
0.072307,3.2435,0.074452,0.074452,0.5432,0.074452,0.20104,0.074452,0.16992,0.19874,0.475,0
0.035942,1.4506,0.064059,0.064059,0.24606,0.064059,0.32121,0.064059,0.37984,0.2297,1.2291,0
0.1062,0.93985,0.1062,0.1062,0.18826,0.1062,0.23843,0.1062,0.3354,0.23843,0.87522,0
0.15022,4.4149,0.18673,0.18673,1.4079,0.18673,1.7083,0.18673,0.44526,1.433,4.4149,0
0.086231,3.0227,0.10946,0.10946,0.34562,0.10946,0.37462,0.10946,0.55127,0.30156,3.011,0
0.048442,3.8116,0.058233,0.058233,0.28791,0.058233,0.50181,0.058233,0.19385,0.45442,3.7315,0
0.10466,3.606,0.13049,0.13049,0.76986,0.13049,0.67787,0.13049,0.29374,0.57481,2.4383,0
0.30993,1.5621,0.3431,0.3431,0.74624,0.3431,0.41165,0.3431,0.2116,0.38069,0.67035,0
0.069929,1.52,0.089171,0.089171,0.15827,0.089171,0.17972,0.089171,0.24357,0.14706,1.4538,0
0.18995,8.4156,0.23594,0.23594,2.4155,0.23594,2.7835,0.23594,0.23594,2.3126,8.4156,0
0.13142,1.4832,0.16478,0.16478,0.34988,0.16478,0.42176,0.16478,0.25365,0.35484,1.401,0
0.097027,2.6381,0.12932,0.12958,0.56364,0.12932,0.57899,0.12932,0,0.45846,2.2593,0
-0.01236,1.3655,-0.01236,-0.01236,-0.028745,-0.01236,0.22201,-0.01236,0.1966,0.22201,1.313,0
0.015229,1.342,0.019336,0.019336,0.07081,0.019336,0.26986,0.019336,0.22082,0.25687,1.1588,0
0.24698,4.0192,0.24698,0.24698,1.7197,0.24698,1.9683,0.24698,0.5843,1.9683,4.0192,0
0.19299,0.99329,0.25839,0.25839,0.37217,0.25839,0.2799,0.25839,-0.96826,0.22537,0.57506,0
0.017567,0.94134,0.025441,0.025441,0.047068,0.025441,0.085299,0.025441,0.025441,0.073475,0.76406,0
0.37747,2.3195,0.37747,0.37747,1.1927,0.37747,1.2221,0.37747,0.84574,1.2221,2.1741,0
0.050978,0.74327,0.064406,0.064406,0.093125,0.064406,0.17267,0.064406,0.099343,0.15367,0.72763,0
0.09808,0.3667,0.098455,0.098455,0.065518,0.098455,0.095163,0.098455,-0.10485,0.094914,0.36567,0
0.19699,2.1553,0.23576,0.23576,0.74564,0.23576,0.8363,0.23576,0.59762,0.71367,2.1553,0
0.13182,3.07,0.13182,0.13182,0.67059,0.13182,0.87357,0.13182,0.13182,0.87357,2.5501,0
0.060362,1.5066,0.082692,0.082692,0.24226,0.082692,0.371,0.082692,0.082692,0.32373,1.0888,0
0.093584,2.344,0.11615,0.11615,0.42414,0.11615,0.67094,0.11615,0.32177,0.58854,2.344,0
0.38414,1.4247,0.47876,0.49094,3.8822,0.47876,3.1806,0.47876,0.66134,2.6742,0.94035,0
0.12603,8.2999,0.15809,0.15809,1.4089,0.15809,1.5884,0.15809,0.46042,1.3138,7.9769,0
0.006784,2.1717,0.006784,0.03091,0.017263,0.006784,0.081751,0.006784,0.04332,0.081751,1.9488,0
0.12903,5.3162,0.1607,0.16973,1.8641,0.1607,2.5613,0.1607,0.1607,2.2196,4.9456,0
0.09701,2.1731,0.11355,0.11564,0.44142,0.11355,0.40406,0.11355,0.26181,0.35528,1.6482,0
0.14855,32.056,0.18977,0.19328,8.4734,0.18977,11.446,0.18977,0.4925,9.6058,32.056,0
0.080258,1.0167,0.10143,0.10143,0.6726,0.10143,0.99014,0.10143,0.14783,0.85934,0.94725,0
0.15046,1.4276,0.21145,0.21145,0.68553,0.21145,0.50516,0.21145,0.52753,0.36877,0.98474,0
0.29876,1.3653,0.36925,0.36925,0.64787,0.36925,0.66954,0.36925,0.92641,0.54593,1.3645,0
0.22562,1.783,0.27986,0.27986,0.63396,0.27986,0.71033,0.27986,0.83814,0.58745,1.783,0
0.10597,1.3639,0.14151,0.1574,0.52843,0.14151,0.32038,0.14151,0.41047,0.26324,0.58719,0
-0.014139,1.2935,-0.012745,-0.012745,-0.026946,-0.012745,0.039612,-0.012745,-0.006493,0.036956,1.1661,0
0.16228,2.5055,0.18937,0.18937,0.69633,0.18937,0.79597,0.18937,0.26711,0.69633,2.5055,0
0.43417,1.7507,0.24204,0.24204,1.0971,0.24204,1.0527,0.24204,0.60949,1.8145,1.5315,0
0.084412,1.0103,0.084412,0.11482,0.099191,0.084412,0.10179,0.084412,0.12106,0.10179,0.95771,0
0.007475,0.90726,0.007475,0.02218,0.01419,0.007475,0.010916,0.007475,0.013305,0.010916,0.51943,0
0.33194,13.994,0.42148,0.42674,5.9202,0.42148,5.1403,0.42148,0.42148,4.054,12.086,0
0.086327,1.7543,0.10189,0.11374,0.47575,0.10189,0.29397,0.10189,0.28209,0.25877,0.8497,0
0.14548,3.1692,0.181,0.181,0.95471,0.181,1.2132,0.181,0.51281,1.0259,3.1692,0
0.12759,1.3398,0.15558,0.18282,0.5484,0.15558,0.36543,0.15558,0.20289,0.31591,0.67254,0
-0.22167,1.4869,-0.2027,-0.2027,-0.78668,-0.2027,-0.15166,-0.2027,-0.24051,-0.17349,0.44096,0
0.002235,1.7228,0.003153,0.003153,0.008852,0.003153,0.097108,0.003153,0.21467,0.095133,1.3203,0
-0.071061,0.31921,-0.07235,-0.001167,-0.52337,-0.07235,-0.091923,-0.07235,-0.07235,-0.089356,0.087885,0
0.75535,3.5249,0.75535,0.75535,3.6287,0.75535,3.7758,0.75535,0.75535,3.7758,3.5249,0
-0.011781,0.25525,-0.006269,0.011997,-0.006343,-0.006269,0.10772,-0.006269,-0.016841,0.10214,0.25525,0
0.031411,1.6472,0.038963,0.038963,0.17155,0.038963,0.16854,0.038963,0.079707,0.15228,0.80569,0
0.063186,1.0694,0.057887,0.057887,0.17265,0.057887,0.27469,0.057887,-0.016709,0.28992,1.0308,0
0.033612,1.2402,0.045626,0.045626,0.056585,0.045626,0.091726,0.045626,-0.32092,0.076836,1.2394,0
0.005231,3.1074,0.006458,0.022578,0.034572,0.006458,0.23155,0.006458,0.006458,0.22782,1.7645,0
0.23369,1.8713,0.23369,0.23369,0.44777,0.23369,0.44777,0.23369,0.26218,0.44777,1.8713,0
0.10523,1.0929,0.13284,0.16302,0.25445,0.13284,0.29272,0.13284,0.15717,0.24658,0.95346,0
-0.1805,0.91566,-0.17758,-0.1115,-0.26211,-0.17758,-0.061746,-0.17758,-0.13865,-0.064298,0.54313,0
0.10342,9.13,0.12753,0.1277,2.1606,0.12753,2.847,0.12753,0.28531,2.4751,8.31,0
-0.014591,0.82102,-0.014066,-0.013375,-0.048205,-0.014066,-0.017566,-0.014066,-0.014066,-0.018221,0.29918,0
0.2317,2.1286,0.33705,0.33705,1.1169,0.33705,1.2178,0.33705,0.75144,0.88189,2.0482,0
0.11584,8.4492,0.14351,0.2096,1.6106,0.14351,1.3741,0.14351,0.22282,1.1414,6.3321,0
1.02,3.0477,1.02,1.0276,4.1393,1.02,4.3162,1.02,1.5942,4.3162,3.0477,0
0.23029,1.1307,0.23029,0.23957,0.37311,0.23029,0.3749,0.23029,0.29013,0.3749,0.87902,0
0.099402,2.0894,0.099402,0.11114,0.39964,0.099402,0.55348,0.099402,0.19177,0.55348,1.6599,0
-0.046693,3.5603,-0.046693,-0.04662,-0.31654,-0.046693,3.0038,-0.046693,0.23864,3.0038,3.5603,0
0.046904,3.1357,0.070105,0.070105,0.36168,0.070105,0.56466,0.070105,0.16855,0.44497,3.1357,0
0.009975,0.80007,0.011275,0.011275,0.021414,0.011275,0.16863,0.011275,0.11312,0.16616,0.80007,0
0.057755,2.0619,0.060343,0.060343,0.29745,0.060343,0.65319,0.060343,0.096012,0.64043,2.0619,0
0.079531,2.2433,0.10157,0.10157,0.36383,0.10157,0.47428,0.10157,0.14308,0.39535,2.2433,0
-0.097708,0.83947,-0.099959,-0.08983,-0.20107,-0.099959,-0.11109,-0.099959,-0.064545,-0.10686,0.78397,0
0,1.4805,0.060691,0.067138,0.11353,0.060691,2.5281,0.060691,0.060691,2.4459,1.0725,0
0.23606,1.53,0.29812,0.29812,1.4347,0.29812,1.0659,0.29812,0.29812,0.88725,0.91521,0
0.16859,1.3919,0.19322,0.19325,0.35435,0.19322,0.27315,0.19322,0.33441,0.24488,0.87111,0
0.015731,0.67814,0.014414,0.014414,0.034495,0.014414,0.078297,0.014414,0.14562,0.080259,0.42209,0
0.19789,4.1376,0.24843,0.24843,1.3459,0.24843,1.7166,0.24843,0.24843,1.4428,4.1376,0
0.22927,1.5915,0.23533,0.25884,0.86779,0.23533,0.74966,0.23533,0.23533,0.73202,1.2563,0
-0.037418,2.7232,-0.037418,0.001338,-0.1725,-0.037418,0.021652,-0.037418,0.029679,0.021652,0.71695,0
0.031542,0.59375,0.04692,0.04692,0.061036,0.04692,0.12521,0.04692,0.04692,0.10521,0.59375,0
0.001831,0.87764,0.002162,0.002162,0.004461,0.002162,0.083188,0.002162,-0.046539,0.082511,0.87025,0
0.089399,11.156,0.11122,0.11122,1.6802,0.11122,2.4023,0.11122,0.29938,2.0726,11.156,0
0.06199,2.8422,0.084362,0.084362,0.4591,0.084362,0.98135,0.084362,0.29181,0.86258,2.7725,0
-0.034125,1.5474,-0.034125,0.011416,-0.17546,-0.034125,-0.017826,-0.034125,-0.034125,-0.017826,0.28561,0
0.054456,0.67162,0.067854,0.093655,0.078048,0.067854,0.098509,0.067854,0.067854,0.083098,0.67162,0
0.19749,1.3406,0.24959,0.34136,0.35049,0.24959,0.35049,0.24959,0.24959,0.27732,1.3406,0
0.13117,2.3221,0.16325,0.16326,0.48087,0.16325,0.54955,0.16325,0.33702,0.4556,2.3086,0
0.027243,1.4202,0.028224,0.028224,0.34939,0.028224,0.75671,0.028224,0.020836,0.74459,1.416,0
0.27123,5.3837,0.33696,0.34742,2.9416,0.33696,2.6169,0.33696,0.43811,2.1687,4.2056,0
0.36761,2.7514,0.44223,0.45166,1.4047,0.44223,1.1539,0.44223,0.65843,0.97184,2.1134,0
0.16818,2.8999,0.2081,0.22043,1.0598,0.2081,0.78718,0.2081,0.33834,0.67543,1.5941,0
0.27849,2.4269,0.34133,0.34133,1.2207,0.34133,1.0896,0.34133,0.5439,0.91893,1.8433,0
0.027439,1.3838,0.035855,0.060173,0.054324,0.035855,0.084611,0.035855,0.035855,0.07186,1.3838,0
0.26973,2.3187,0.3364,0.3364,0.85337,0.3364,0.89258,0.3364,0.52414,0.72343,2.3187,0
0.084118,1.24,0.10351,0.11078,0.18367,0.10351,0.25233,0.10351,0.10351,0.21792,1.24,0
0.11121,0.81297,0.13043,0.14181,0.20657,0.13043,0.17601,0.13043,0.083766,0.15326,0.60741,0
0.048947,1.3065,0.048947,0.048947,0.10235,0.048947,0.33778,0.048947,0.048947,0.33778,0.99505,0
0.11371,1.4205,0.14039,0.14591,0.23149,0.14039,0.30615,0.14039,0.14039,0.26216,1.4205,0
0.25214,3.1662,0.25214,0.25214,1.1456,0.25214,0.66802,0.25214,0.25214,0.66802,1.4574,0
0.28999,1.2279,0.31884,0.33656,0.45354,0.31884,0.51995,0.31884,0.31884,0.47891,1.2279,0
0.23681,4.301,0.29362,0.29362,3.7161,0.29362,2.2826,0.29362,0.29362,1.9385,2.058,0
0.042405,0.73056,0.052202,0.052202,0.21918,0.052202,0.17797,0.052202,-0.18601,0.1574,0.36538,0
0.28146,5.1064,0.34957,0.35482,3.5446,0.34957,3.9317,0.34957,0.34957,3.3172,4.5441,0
0.15175,0.96434,0.18937,0.18937,0.3004,0.18937,0.34628,0.18937,0.24091,0.28836,0.93599,0
0.15175,0.96434,0.18937,0.18937,0.3004,0.18937,0.34628,0.18937,0.24091,0.28836,0.93599,0
-0.035818,4.1884,-0.031984,-0.031984,-0.18466,-0.031984,-0.019772,-0.031984,0.032792,-0.036145,3.0981,0
